nu_ano;co_ies;co_uf_curso;nu_idade;tp_sexo;ano_fim_2g;ano_in_grad;tp_pres;tp_pr_ger;tp_pr_ob_fg;tp_pr_di_fg;tp_pr_ob_ce;tp_pr_di_ce;tp_sfg_d1;tp_sfg_d2;tp_sce_d1;tp_sce_d2;tp_sce_d3;nt_obj_fg;nt_fg_d1_pt;nt_fg_d1_ct;nt_fg_d1;nt_fg_d2_pt;nt_fg_d2_ct;nt_fg_d2;nt_dis_fg;nt_fg;nt_obj_ce;nt_ce_d1;nt_ce_d2;nt_ce_d3;nt_dis_ce;nt_ce;nt_ger
2014;1;51;23;M;2007;2010;555;555;555;555;555;555;555;555;555;555;555;62.5;90;80;82;75;65;67;74.5;67.3;71.4;90;10;20;40;66.7;66.9
2014;1;51;24;M;2007;2010;555;555;555;333;555;555;333;333;333;555;333;62.5;0;0;0;0;0;0;0;37.5;66.7;0;20;0;6.7;57.7;52.7
2014;1;51;22;F;2009;2010;555;555;555;555;555;555;555;555;555;555;555;62.5;75;100;95;65;100;93;94;75.1;57.1;45;35;0;26.7;52.5;58.2
2014;1;51;24;F;2007;2010;555;555;555;555;555;555;555;555;555;555;555;87.5;60;60;60;75;85;83;71.5;81.1;61.9;10;40;10;20;55.6;62
2014;1;51;23;F;2008;2010;555;555;555;555;555;555;555;555;333;555;555;87.5;60;100;92;80;80;80;86;86.9;76.2;0;20;10;10;66.3;71.5
2014;1;51;22;M;2009;2010;555;555;555;555;555;555;555;555;555;555;555;75;75;50;55;65;85;81;68;72.2;81;10;30;0;13.3;70.8;71.2
2014;1;51;24;F;2011;2012;555;555;555;555;555;555;555;555;555;555;555;37.5;60;65;64;75;60;63;63.5;47.9;57.1;40;15;0;18.3;51.3;50.5
2014;1;51;23;M;2008;2010;555;555;555;555;555;555;555;555;333;555;555;37.5;70;0;14;75;65;67;40.5;38.7;47.6;0;5;20;8.3;41.7;41
2014;1;51;22;M;2009;2010;555;555;555;555;555;555;555;555;555;555;555;75;80;80;80;75;60;63;71.5;73.6;61.9;25;10;0;11.7;54.4;59.2
2014;1;51;23;F;2008;2010;555;555;555;555;555;555;555;555;555;555;555;75;70;75;74;65;100;93;83.5;78.4;52.4;35;20;10;21.7;47.8;55.5
2014;1;51;24;F;2008;2010;555;555;555;555;555;555;555;555;555;555;555;62.5;75;75;75;50;80;74;74.5;67.3;52.4;40;25;10;25;48.3;53.1
2014;1;51;21;M;2009;2010;555;555;555;555;555;555;555;333;555;555;333;75;65;100;93;0;0;0;46.5;63.6;85.7;80;55;0;45;79.6;75.6
2014;1;51;22;M;2008;2010;555;555;555;555;555;555;555;555;555;555;333;87.5;75;50;55;60;60;60;57.5;75.5;14.3;70;30;0;33.3;17.2;31.8
2014;1;51;24;F;2007;2010;555;555;555;555;555;555;555;555;333;555;555;50;55;75;71;55;60;59;65;56;61.9;0;20;10;10;54.1;54.6
2014;1;51;22;F;2009;2010;555;555;555;555;555;555;555;555;555;555;555;62.5;75;80;79;75;80;79;79;69.1;61.9;35;25;20;26.7;56.6;59.7
2014;1;51;22;M;2009;2010;555;555;555;555;555;555;555;555;555;555;555;62.5;65;30;37;75;65;67;52;58.3;52.4;30;20;20;23.3;48;50.6
2014;1;51;23;F;2008;2010;555;555;555;555;555;555;555;555;555;555;555;62.5;80;100;96;65;100;93;94.5;75.3;52.4;15;35;10;20;47.5;54.5
2014;1;51;22;F;2009;2010;555;555;555;555;555;555;555;555;333;555;333;62.5;65;65;65;85;100;97;81;69.9;47.6;0;40;0;13.3;42.5;49.4
2014;1;51;24;F;2007;2010;555;555;555;555;555;555;555;555;555;555;555;87.5;70;70;70;50;60;58;64;78.1;42.9;0;45;20;21.7;39.7;49.3
2014;1;51;21;F;2009;2010;555;555;555;555;555;555;555;555;555;555;555;75;75;70;71;50;80;74;72.5;74;57.1;55;35;0;30;53;58.3
2014;1;51;26;F;2005;2010;555;555;555;555;555;555;555;555;555;555;555;75;80;100;96;75;85;83;89.5;80.8;61.9;40;30;10;26.7;56.6;62.7
2014;1;51;23;F;2009;2010;555;555;555;555;555;555;555;555;555;555;555;75;60;65;64;65;100;93;78.5;76.4;76.2;30;25;10;21.7;68;70.1
2014;1;51;24;M;2007;2011;555;555;555;555;555;333;555;333;333;333;333;75;0;0;0;0;0;0;0;45;47.6;0;0;0;0;40.5;41.6
2014;1;51;23;F;2008;2010;555;555;555;555;555;555;555;555;555;555;555;62.5;90;45;54;75;30;39;46.5;56.1;71.4;50;35;20;35;65.9;63.5
2014;1;51;22;F;2009;2011;555;555;555;555;555;555;555;555;555;555;555;62.5;75;90;87;90;50;58;72.5;66.5;81;15;40;0;18.3;71.6;70.3
2014;1;51;24;F;2007;2010;555;555;555;555;555;555;555;336;333;555;555;62.5;75;80;79;50;0;0;39.5;53.3;57.1;0;30;10;13.3;50.5;51.2
2014;1;51;25;F;2007;2010;555;555;555;555;555;555;555;555;333;555;555;62.5;65;65;65;80;100;96;80.5;69.7;76.2;0;40;30;23.3;68.3;68.7
2014;1;51;28;F;2002;2005;555;555;555;555;555;555;555;555;333;555;333;100;60;70;68;60;100;92;80;92;61.9;0;45;0;15;54.9;64.2
2014;1;51;22;F;2009;2010;555;555;555;555;555;555;555;555;555;555;555;100;75;65;67;75;65;67;67;86.8;61.9;45;55;20;40;58.6;65.7
2014;1;51;25;F;2007;2010;555;555;555;555;555;555;555;555;555;555;333;75;75;100;95;80;100;96;95.5;83.2;66.7;75;30;0;35;61.9;67.2
2014;1;51;22;F;2009;2010;555;555;555;555;555;555;555;555;555;555;555;75;75;25;35;70;65;66;50.5;65.2;71.4;20;15;20;18.3;63.4;63.9
2014;1;51;23;F;2008;2010;555;555;555;555;555;555;555;555;555;555;555;62.5;90;55;62;75;60;63;62.5;62.5;66.7;5;20;0;8.3;57.9;59.1
2014;1;51;23;F;2008;2010;555;555;555;555;555;555;555;555;333;555;555;62.5;75;80;79;90;45;54;66.5;64.1;52.4;0;40;20;20;47.5;51.7
2014;1;51;25;F;2006;2009;555;555;555;555;555;555;555;555;333;555;555;87.5;75;90;87;70;50;54;70.5;80.7;61.9;0;20;0;6.7;53.6;60.4
2014;1;51;23;M;2008;2012;555;555;555;555;555;555;555;555;555;555;555;62.5;45;70;65;55;15;23;44;55.1;33.3;20;10;0;10;29.8;36.1
2014;1;51;23;F;2008;2009;555;555;555;555;555;555;555;555;555;555;555;62.5;75;75;75;75;100;95;85;71.5;71.4;35;80;20;45;67.4;68.4
2014;1;51;24;F;2008;2009;555;555;555;555;555;555;555;555;333;555;555;50;85;70;73;65;80;77;75;60;57.1;0;30;20;16.7;51;53.3
2014;1;51;26;F;2007;2008;555;555;555;555;555;555;555;555;333;555;555;37.5;80;50;56;65;65;65;60.5;46.7;71.4;0;25;0;8.3;61.9;58.1
2014;1;51;27;M;2005;2006;555;555;555;555;555;333;555;555;333;333;333;75;75;100;95;65;50;53;74;74.6;61.9;0;0;0;0;52.6;58.1
2014;1;51;25;F;2008;2009;555;555;555;555;555;555;555;555;336;555;555;75;85;80;81;0;0;0;40.5;61.2;71.4;0;15;0;5;61.4;61.4
2014;2;53;26;M;2004;2011;555;555;555;555;555;555;555;555;333;555;555;75;80;75;76;75;100;95;85.5;79.2;52.4;0;35;10;15;46.8;54.9
2014;2;53;23;F;2008;2009;555;555;555;555;555;555;555;555;555;555;333;62.5;75;100;95;75;100;95;95;75.5;66.7;70;35;0;35;61.9;65.3
2014;2;53;24;F;2007;2009;555;555;555;555;555;555;555;555;555;555;555;75;90;70;74;80;45;52;63;70.2;52.4;45;30;20;31.7;49.3;54.5
2014;2;53;23;F;2008;2009;555;555;555;555;555;555;555;333;333;555;333;87.5;65;100;93;0;0;0;46.5;71.1;76.2;0;15;0;5;65.5;66.9
2014;2;53;24;F;2007;2008;555;555;555;333;555;333;333;333;333;333;333;75;0;0;0;0;0;0;0;45;28.6;0;0;0;0;24.3;29.5
2014;2;53;24;F;2007;2009;555;555;555;333;555;555;333;333;333;555;333;62.5;0;0;0;0;0;0;0;37.5;71.4;0;15;0;5;61.4;55.4
2014;2;53;24;M;2007;2008;555;555;555;555;555;333;555;555;333;333;333;87.5;0;30;24;50;45;46;35;66.5;38.1;0;0;0;0;32.4;40.9
2014;2;53;21;F;2009;2009;555;555;555;555;555;555;555;555;555;555;555;75;65;100;93;60;30;36;64.5;70.8;66.7;25;75;70;56.7;65.2;66.6
2014;2;53;24;F;2007;2009;555;555;555;333;555;333;333;333;333;333;333;87.5;0;0;0;0;0;0;0;52.5;66.7;0;0;0;0;56.7;55.7
2014;2;53;22;F;2009;2010;555;555;555;555;555;555;555;555;555;555;555;62.5;80;60;64;75;80;79;71.5;66.1;47.6;30;60;0;30;45;50.3
2014;2;53;23;M;2008;2009;555;555;555;333;555;333;333;333;333;333;333;62.5;0;0;0;0;0;0;0;37.5;71.4;0;0;0;0;60.7;54.9
2014;2;53;26;F;2005;2008;555;555;555;555;555;555;555;555;555;555;333;62.5;65;100;93;55;60;59;76;67.9;61.9;45;35;0;26.7;56.6;59.4
2014;2;53;27;F;2004;2011;555;555;555;555;555;555;555;555;555;555;555;87.5;80;90;88;75;100;95;91.5;89.1;81;80;70;0;50;76.4;79.6
2014;2;53;22;F;2009;2010;555;555;555;555;555;555;555;333;555;555;555;75;90;50;58;0;0;0;29;56.6;66.7;5;30;20;18.3;59.4;58.7
2014;2;53;51;F;1980;2011;555;555;555;555;555;555;555;555;555;555;555;62.5;40;100;88;65;60;61;74.5;67.3;52.4;0;65;20;28.3;48.8;53.4
2014;2;53;23;F;2008;2009;555;555;555;333;555;333;333;333;333;333;333;100;0;0;0;0;0;0;0;60;47.6;0;0;0;0;40.5;45.4
2014;2;53;26;M;2005;2011;555;555;555;555;555;555;555;555;555;555;555;37.5;50;100;90;75;80;79;84.5;56.3;66.7;50;5;0;18.3;59.4;58.6
2014;2;53;25;F;2007;2009;555;555;555;555;555;555;555;555;555;555;555;62.5;75;100;95;80;60;64;79.5;69.3;76.2;80;40;20;46.7;71.8;71.2
2014;2;53;29;M;2010;2011;555;555;555;333;555;333;333;333;333;333;333;87.5;0;0;0;0;0;0;0;52.5;90.5;0;0;0;0;76.9;70.8
2014;2;53;24;F;2008;2009;555;555;555;555;555;555;555;555;555;555;555;87.5;85;70;73;90;80;82;77.5;83.5;66.7;45;25;20;30;61.2;66.8
2014;2;53;28;F;2004;2011;555;555;555;555;555;555;555;555;555;555;555;87.5;80;100;96;85;100;97;96.5;91.1;66.7;50;50;10;36.7;62.2;69.4
2014;2;53;23;F;2008;2010;555;555;555;555;555;555;555;555;333;555;333;75;80;80;80;75;100;95;87.5;80;76.2;0;30;0;10;66.3;69.7
2014;2;53;27;F;2004;2006;555;555;555;555;555;555;555;555;336;555;333;87.5;75;100;95;75;80;79;87;87.3;66.7;0;20;0;6.7;57.7;65.1
2014;2;53;24;F;2007;2009;555;555;555;555;555;555;555;555;555;555;555;75;70;65;66;80;65;68;67;71.8;66.7;5;30;0;11.7;58.5;61.8
2014;2;53;25;M;2006;2007;555;555;555;333;555;333;333;333;333;333;333;75;0;0;0;0;0;0;0;45;57.1;0;0;0;0;48.5;47.6
2014;2;53;25;F;2006;2008;555;555;555;333;555;333;333;333;333;333;333;62.5;0;0;0;0;0;0;0;37.5;61.9;0;0;0;0;52.6;48.8
2014;2;53;22;M;2009;2009;555;555;555;555;555;555;555;555;555;555;333;25;45;100;89;65;45;49;69;42.6;52.4;35;35;0;23.3;48;46.7
2014;2;53;23;F;2008;2010;555;555;555;555;555;555;555;555;555;555;555;62.5;65;100;93;55;0;11;52;58.3;61.9;30;25;10;21.7;55.9;56.5
2014;2;53;24;M;2007;2008;555;555;555;555;555;555;555;555;555;333;333;87.5;70;80;78;45;50;49;63.5;77.9;66.7;40;0;0;13.3;58.7;63.5
2014;2;53;24;F;2008;2009;555;555;555;555;555;555;555;555;555;555;555;87.5;80;75;76;75;45;51;63.5;77.9;57.1;40;10;0;16.7;51;57.7
2014;2;53;24;F;2007;2010;555;555;555;555;555;555;555;555;555;555;333;50;70;100;94;80;65;68;81;62.4;19;5;35;0;13.3;18.1;29.2
2014;2;53;23;F;2006;2009;555;555;555;555;555;555;555;555;333;555;555;75;55;40;43;80;80;80;61.5;69.6;61.9;0;20;10;10;54.1;58
2014;2;53;23;F;2008;2010;555;555;555;555;555;555;555;333;555;555;333;50;80;70;72;0;0;0;36;44.4;33.3;85;70;0;51.7;36.1;38.2
2014;2;53;25;M;2007;2008;555;555;555;333;555;333;333;333;333;333;333;75;0;0;0;0;0;0;0;45;52.4;0;0;0;0;44.5;44.6
2014;2;53;26;F;2005;2009;555;555;555;555;555;333;555;555;333;333;333;87.5;55;100;91;70;100;94;92.5;89.5;66.7;0;0;0;0;56.7;64.9
2014;2;53;25;M;2008;2009;555;555;555;555;555;555;555;555;555;555;555;62.5;35;15;19;65;80;77;48;56.7;52.4;25;5;20;16.7;47;49.4
2014;2;53;23;F;2008;2009;555;555;555;555;555;555;555;555;555;555;333;75;90;100;98;80;80;80;89;80.6;71.4;90;90;0;60;69.7;72.4
2014;2;53;24;F;2007;2010;555;555;555;555;555;555;555;555;555;555;555;75;85;50;57;65;30;37;47;63.8;57.1;30;20;10;20;51.5;54.6
2014;2;53;24;F;2007;2008;555;555;555;555;555;333;555;333;333;333;333;75;80;100;96;0;0;0;48;64.2;61.9;0;0;0;0;52.6;55.5
2014;2;53;23;F;2008;2009;555;555;555;333;555;555;333;333;555;333;333;62.5;0;0;0;0;0;0;0;37.5;47.6;50;0;0;16.7;43;41.6
2014;2;53;25;M;2006;2007;555;555;555;555;555;555;555;555;555;555;555;62.5;55;25;31;85;30;41;36;51.9;71.4;40;25;20;28.3;64.9;61.7
2014;2;53;23;M;2009;2010;555;555;555;555;555;555;555;555;555;555;555;75;80;70;72;80;80;80;76;75.4;57.1;45;75;20;46.7;55.5;60.5
2014;2;53;23;F;2008;2011;555;555;555;555;555;555;555;555;555;555;333;87.5;55;80;75;65;100;93;84;86.1;71.4;90;35;0;41.7;66.9;71.7
2014;2;53;23;F;2008;2009;555;555;555;555;555;555;555;555;333;555;555;100;90;90;90;85;80;81;85.5;94.2;81;0;35;0;11.7;70.6;76.5
2014;2;53;26;F;2006;2008;555;555;555;333;555;333;333;333;333;333;333;75;0;0;0;0;0;0;0;45;33.3;0;0;0;0;28.3;32.5
2014;2;53;24;F;2007;2009;555;555;555;555;555;555;555;555;333;555;555;75;75;25;35;75;100;95;65;71;57.1;0;0;20;6.7;49.5;54.9
2014;2;53;24;M;2007;2008;555;555;555;555;555;555;555;555;555;555;555;87.5;80;50;56;60;30;36;46;70.9;52.4;70;35;10;38.3;50.3;55.5
2014;2;53;24;F;2007;2008;555;555;555;555;555;555;555;555;555;555;555;75;75;65;67;75;65;67;67;71.8;61.9;75;75;10;53.3;60.6;63.4
2014;2;53;26;M;2005;2007;555;555;555;555;555;555;555;555;555;555;555;75;70;15;26;75;65;67;46.5;63.6;61.9;30;20;0;16.7;55.1;57.2
2014;2;53;23;F;2008;2009;555;555;555;555;555;555;555;555;555;555;555;75;75;60;63;75;80;79;71;73.4;76.2;55;70;20;48.3;72;72.4
2014;2;53;26;M;2006;2011;555;555;555;333;555;333;333;333;333;333;333;100;0;0;0;0;0;0;0;60;57.1;0;0;0;0;48.5;51.4
2014;2;53;25;M;2006;2008;555;555;555;333;555;333;333;333;333;333;333;75;0;0;0;0;0;0;0;45;61.9;0;0;0;0;52.6;50.7
2014;2;53;24;F;2007;2008;555;555;555;555;555;555;555;555;555;555;555;75;80;15;28;45;65;61;44.5;62.8;52.4;40;30;0;23.3;48;51.7
